Experiment 1
workload C for YCSB throughput ΔMopsΔ,Thread = 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32
LI+Δ,0.796,1.71,2.55,3.41,4.21,5.05,5.83,6.61,7.5,8.26,8.99,9.75,10.3,11.1,11.8,12.5
XIndex,1.74,2.79,3.75,4.68,5.57,6.56,7.35,7.24,9.41,9.55,10.2,10.3,11.4,11.5,12.3,13
FINEdx,1.09,2.98,3.68,4.8,6.04,7.33,8.5,9.69,10.7,11.8,12.8,13.8,14.2,15.6,16.2,17.1
ROIndex,1.25,2.47,3.85,5.1,6.19,7.35,8.4,9.61,10.7,11.9,12.7,13.2,13.5,14.5,15.8,17.2
workload D for YCSB throughput ΔMopsΔ,Thread = 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32
LI+Δ,0.468,1.03,1.53,2.01,2.39,2.81,3.13,3.31,3.52,3.69,3.88,4.06,4.08,4.04,4.21,4.32
XIndex,0.369,0.919,1.45,1.96,2.46,3.06,3.09,3.95,4.25,4.68,5.12,5.21,5.76,5.97,6.37,6.62
FINEdx,0.707,1.57,2.38,3.14,3.8,4.48,5.13,5.55,5.99,6.5,6.67,6.92,7.21,7.3,7.59,7.47
ROIndex,0.593,1.19,1.78,2.37,2.82,3.38,3.84,4.29,4.83,5.32,5.59,5.98,6.11,6.57,6.92,7.07
workload E for YCSB throughput ΔMopsΔ,Thread = 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32
LI+Δ,0.085,0.183,0.268,0.355,0.441,0.525,0.616,0.704,0.79,0.867,0.858,0.933,1.01,1.08,1.17,1.23
XIndex,0.347,0.484,0.621,0.758,0.895,1.03,1.17,1.31,1.44,1.49,1.5,1.61,1.72,1.82,1.88,1.98
FINEdx,0.153,0.334,0.506,0.673,0.829,0.995,1.16,1.31,1.45,1.63,1.66,1.78,1.96,2.05,2.17,2.35
ROIndex,0.259,0.538,0.797,1.04,1.28,1.54,1.79,2.04,2.27,2.49,2.57,2.79,2.85,3.06,3.31,3.49
workload F for YCSB throughput ΔMopsΔ,Thread = 2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32
LI+Δ,0.872757,2.08,3.05,4.14,5.03,6.07,7.05,8.01,9.02,10.1,10.9,11.6,12.3,13.1,14.2,15.1
XIndex,1.93,3.4,4.59,5.68,7.37,7.55,8.6,8.26,9.61,11.1,11.4,12.1,13.2,14.1,14.1,15.3
FINEdx,1.4,3.18,4.75,6.32,7.78,9.33,10.8,12.4,13.8,14.8,16.1,17.5,16.3,17.8,18.3,17.8
ROIndex,1.59,3.37,5.16,6.58,8.38,9.97,11.6,13.1,14.8,15.2,17,17.6,18,19.6,20.2,19

Experiment 6
Space efficiency for Amazon (MB),Idle slots in buffer,Stored KVs in buffer,Trained KVs,Other,,
LI+Δ,730.1916504,1510.620117,15.25878906,1680.208008,,
XIndex,619.5914001,1281.710556,244.1398468,1545.468536,,
FINEdx,1457.710266,1017.546082,508.3328247,1449.804306,,
ROIndex,171.6461182,462.5946045,1063.653564,535.2104187,,
Space efficiency for Lognormal (MB),Idle slots in buffer,Stored KVs in buffer,Trained KVs,Other,,
LI+Δ,1510.620117,879.435791,15.25878906,1510.019226,,
XIndex,1296.968781,719.7876974,228.8813782,1464.593925,,
FINEdx,1018.563843,1455.838013,507.2860718,1450.084305,,
ROIndex,462.4771118,171.5853882,1064.756775,535.7159424,,
Buffer ulitization %,dataset = Amazon,Facebook,Normal,Lognormal,,
LI+Δ,0.674,0.674,0.674,0.674,,
XIndex,0.674,0.674,0.674,0.674,,
FINEdx,0.411051,0.411109,0.411367,0.411216,,
ROIndex,0.729555,0.729158,0.729226,0.728968,,
Buffer ulitization %,Insert data = 10^6,5*10^6,10^7,5*10^8,10^8,
LI+Δ,0.67,0.67,0.67,0.67,0.67,
XIndex,0.67,0.67,0.67,0.67,0.67,
